timestamp,open,high,low,close,volume
2024-01-16 19:55:00,166.9300,166.9300,166.7800,166.7800,50
2024-01-16 19:50:00,166.9400,166.9500,166.7000,166.7800,61
2024-01-16 19:45:00,166.7500,166.9400,166.7500,166.7800,18
2024-01-16 19:40:00,166.7500,166.9400,166.7500,166.9400,20
2024-01-16 19:35:00,166.8900,166.9400,166.7000,166.9400,513
2024-01-16 19:30:00,166.9480,166.9500,166.9480,166.9500,21
2024-01-16 19:25:00,166.9500,166.9500,166.9500,166.9500,28
2024-01-16 19:20:00,166.8900,166.9500,166.8900,166.9500,31
2024-01-16 19:15:00,166.9400,166.9500,166.9400,166.9400,35
2024-01-16 19:10:00,166.9600,166.9600,166.9500,166.9500,250
2024-01-16 19:05:00,167.0100,167.0100,167.0100,167.0100,7
2024-01-16 19:00:00,166.9600,166.9600,166.9600,166.9600,689823
2024-01-16 18:55:00,167.0100,167.0100,167.0100,167.0100,1
2024-01-16 18:45:00,167.0300,167.0300,167.0200,167.0200,150
2024-01-16 18:40:00,167.0600,167.1000,167.0200,167.0300,273
2024-01-16 18:30:00,166.9600,167.1100,166.9600,167.1100,689824
2024-01-16 18:25:00,167.1800,167.1800,167.1800,167.1800,1
2024-01-16 18:20:00,167.1700,167.1800,167.1700,167.1700,26
2024-01-16 18:15:00,167.1700,167.1700,167.1700,167.1700,22
2024-01-16 18:05:00,167.1700,167.1700,167.1700,167.1700,6
2024-01-16 18:00:00,167.1700,167.1700,167.0200,167.0200,6
2024-01-16 17:50:00,167.1500,167.1700,167.0200,167.0200,18
2024-01-16 17:40:00,167.1400,167.1400,167.1400,167.1400,10
2024-01-16 17:35:00,167.1400,167.1400,167.0200,167.0200,2
2024-01-16 17:30:00,167.1790,167.1790,167.1790,167.1790,18
2024-01-16 17:20:00,167.0200,167.2000,167.0200,167.2000,40
2024-01-16 17:15:00,167.0300,167.1500,167.0200,167.1500,524
2024-01-16 17:10:00,167.0210,167.1700,167.0210,167.1400,9
2024-01-16 17:05:00,167.0200,167.0200,167.0200,167.0200,3
2024-01-16 17:00:00,167.1500,167.2290,167.1500,167.2290,110
2024-01-16 16:55:00,166.9600,167.1600,166.9600,167.1600,13481
2024-01-16 16:50:00,166.9600,167.2500,166.9600,167.2500,26306
2024-01-16 16:45:00,167.0000,167.1600,167.0000,167.1600,137
2024-01-16 16:40:00,167.0000,167.0000,167.0000,167.0000,25
2024-01-16 16:35:00,166.9600,166.9700,166.9600,166.9600,61
2024-01-16 16:30:00,166.8900,166.9600,166.8800,166.9600,30
2024-01-16 16:25:00,167.0000,167.2400,166.6200,166.6200,106
2024-01-16 16:20:00,166.9500,167.0000,160.9050,166.9500,45
2024-01-16 16:15:00,166.9600,167.0000,166.4800,166.9500,26
2024-01-16 16:10:00,166.9600,167.0000,166.4800,166.9500,689878
2024-01-16 16:05:00,166.9500,166.9600,166.9500,166.9600,8622
2024-01-16 16:00:00,166.9300,167.2100,166.9300,166.9500,1688968
2024-01-16 15:55:00,166.8050,167.0500,166.7900,166.9300,394194
2024-01-16 15:50:00,166.6200,166.8200,166.6200,166.8000,174708
2024-01-16 15:45:00,166.4800,166.6200,166.4750,166.6200,86167
2024-01-16 15:40:00,166.3900,166.4900,166.3500,166.4800,62752
2024-01-16 15:35:00,166.2900,166.4450,166.2900,166.3900,65972
